
Summary Statistics for Station 6
,DayAirTmpAvg (F),DayAirTmpMax (F),DayAirTmpMin (F),DayDewPnt (F),DayPrecip (in),DayRelHumAvg (%),DayRelHumMax (%),DayRelHumMin (%),DaySolRadAvg (Ly/day),DayVapPresAvg (mBars),DayWindRun (MPH),DayWindSpdAvg (MPH)
count,4293.0,4293.0,4293.0,4293.0,4293.0,4293.0,4293.0,4293.0,4293.0,4293.0,4293.0,4293.0
mean,61.0,76.0,48.0,46.0,0.0,61.0,86.0,39.0,436.0,11.0,128.0,5.0
std,11.0,15.0,9.0,9.0,0.0,18.0,13.0,20.0,205.0,3.0,60.0,2.0
min,34.0,42.0,25.0,9.0,0.0,12.0,18.0,0.0,0.0,2.0,24.0,1.0
max,89.0,111.0,75.0,64.0,5.0,100.0,100.0,100.0,912.0,20.0,544.0,23.0

Summary Statistics for Station 43
,DayAirTmpAvg (F),DayAirTmpMax (F),DayAirTmpMin (F),DayDewPnt (F),DayPrecip (in),DayRelHumAvg (%),DayRelHumMax (%),DayRelHumMin (%),DaySolRadAvg (Ly/day),DayVapPresAvg (mBars),DayWindRun (MPH),DayWindSpdAvg (MPH)
count,4346.0,4346.0,4346.0,4346.0,4346.0,4346.0,4346.0,4346.0,4346.0,4346.0,4346.0,4346.0
mean,50.0,66.0,35.0,37.0,0.0,63.0,89.0,40.0,425.0,8.0,110.0,5.0
std,14.0,18.0,12.0,10.0,0.0,18.0,8.0,21.0,216.0,3.0,49.0,2.0
min,0.0,20.0,-15.0,-68.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0
max,83.0,104.0,66.0,59.0,3.0,100.0,100.0,100.0,989.0,17.0,436.0,18.0

Summary Statistics for Station 88
,DayAirTmpAvg (F),DayAirTmpMax (F),DayAirTmpMin (F),DayDewPnt (F),DayPrecip (in),DayRelHumAvg (%),DayRelHumMax (%),DayRelHumMin (%),DaySolRadAvg (Ly/day),DayVapPresAvg (mBars),DayWindRun (MPH),DayWindSpdAvg (MPH)
count,3356.0,3356.0,3356.0,3356.0,3356.0,3356.0,3356.0,3356.0,3356.0,3356.0,3356.0,3356.0
mean,60.0,78.0,44.0,38.0,0.0,47.0,75.0,26.0,484.0,8.0,122.0,5.0
std,13.0,15.0,11.0,9.0,0.0,19.0,16.0,17.0,188.0,3.0,22.0,1.0
min,28.0,40.0,13.0,1.0,0.0,12.0,23.0,3.0,17.0,2.0,24.0,1.0
max,90.0,108.0,71.0,64.0,1.0,100.0,100.0,100.0,1030.0,21.0,304.0,13.0

Summary Statistics for Station 211
,DayAirTmpAvg (F),DayAirTmpMax (F),DayAirTmpMin (F),DayDewPnt (F),DayPrecip (in),DayRelHumAvg (%),DayRelHumMax (%),DayRelHumMin (%),DaySolRadAvg (Ly/day),DayVapPresAvg (mBars),DayWindRun (MPH),DayWindSpdAvg (MPH)
count,3207.0,3207.0,3207.0,3207.0,3207.0,3207.0,3207.0,3207.0,3207.0,3207.0,3207.0,3207.0
mean,58.0,75.0,45.0,47.0,0.0,67.0,92.0,41.0,435.0,11.0,120.0,5.0
std,8.0,11.0,8.0,8.0,0.0,14.0,8.0,16.0,184.0,3.0,42.0,2.0
min,34.0,49.0,18.0,15.0,0.0,18.0,39.0,7.0,0.0,3.0,0.0,0.0
max,81.0,105.0,65.0,62.0,3.0,100.0,100.0,95.0,952.0,19.0,340.0,14.0

Summary Statistics for Station 233
,DayAirTmpAvg (F),DayAirTmpMax (F),DayAirTmpMin (F),DayDewPnt (F),DayPrecip (in),DayRelHumAvg (%),DayRelHumMax (%),DayRelHumMin (%),DaySolRadAvg (Ly/day),DayVapPresAvg (mBars),DayWindRun (MPH),DayWindSpdAvg (MPH)
count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,,,,,,,,,,,,
std,,,,,,,,,,,,
min,,,,,,,,,,,,
max,,,,,,,,,,,,
