objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,complex_name,shape__area,shape__length,duration_days,intensity,rescaled_intensity
1,2023.0,CDF,SKU,WHITWORTH,2023-06-17 00:00:00+00:00,2023-06-17 00:00:00+00:00,5.729125,,41407.83984375,1247.16603398886,0 days,6.88362232318638,10.0
2,2023.0,LRA,BTU,KAISER,2023-06-02 00:00:00+00:00,2023-06-02 00:00:00+00:00,13.60238,,93455.87890625,1285.51454971661,0 days,9.680982410835785,13.0
3,2023.0,CDF,AEU,JACKSON,2023-07-01 00:00:00+00:00,2023-07-02 00:00:00+00:00,27.81446,,183028.5,2697.58742917456,1 days,16.409768912482512,22.0
4,2023.0,CDF,AEU,CARBON,2023-07-11 00:00:00+00:00,2023-07-11 00:00:00+00:00,58.76023,,388221.953125,2548.73877855158,0 days,14.769036944430031,20.0
5,2023.0,CDF,AEU,LIBERTY,2023-07-11 00:00:00+00:00,2023-07-12 00:00:00+00:00,70.979,,466456.0078125,5106.93652582734,1 days,19.71536421574295,26.0
6,2023.0,CDF,AEU,CLAY,2023-06-18 00:00:00+00:00,2023-06-18 00:00:00+00:00,28.63791,,188516.984375,1941.50983446427,0 days,12.236895509128324,16.0
7,2023.0,CDF,BEU,PAICINES,2023-07-13 00:00:00+00:00,2023-07-13 00:00:00+00:00,13.59313,,85835.91796875,1776.4387595018,0 days,9.678694450964194,13.0
8,2023.0,CDF,BEU,VINEYARD,2023-07-09 00:00:00+00:00,2023-07-10 00:00:00+00:00,391.3749,,2412533.5546875,10733.8123075036,1 days,25.838564416752757,34.0
9,2023.0,CDF,BEU,SLACKS,2023-07-15 00:00:00+00:00,2023-07-17 00:00:00+00:00,40.41796,,249660.2734375,2407.16695678565,2 days,20.220357222989975,27.0
10,2023.0,CDF,BEU,IDRIA,2023-07-19 00:00:00+00:00,2023-07-19 00:00:00+00:00,296.6445,,1860464.30078125,10225.7742396832,0 days,20.566248009165275,27.0
11,2023.0,CDF,SHU,WONDER,2023-07-24 00:00:00+00:00,2023-07-28 00:00:00+00:00,161.8137,,1141858.58984375,7184.88555633728,4 days,28.31327270491457,37.0
12,2023.0,CDF,SHU,PINE,2023-06-15 00:00:00+00:00,2023-06-15 00:00:00+00:00,11.91801,,83320.984375,1388.85090723164,0 days,9.23844620868936,13.0
