Date,Station,ZipCodes,DayAirTmpAvg (F),DayAirTmpMax (F),DayAirTmpMin (F),DayDewPnt (F),DayPrecip (in),DayRelHumAvg (%),DayRelHumMax (%),DayRelHumMin (%),DaySolRadAvg (Ly/day),DayVapPresAvg (mBars),DayWindRun (MPH),DayWindSpdAvg (MPH)
2013-01-01,6,"95618, 95617, 95616",39.1,51.5,30.2,30.7,0.0,72.0,89.0,46.0,247.0,5.8,134.4,5.6
2013-01-02,6,"95618, 95617, 95616",38.6,55.1,28.5,30.9,0.0,73.0,91.0,46.0,258.0,5.8,56.3,2.3
2013-01-03,6,"95618, 95617, 95616",38.1,51.9,27.8,32.0,0.0,78.0,91.0,53.0,239.0,6.1,65.6,2.7
2013-01-04,6,"95618, 95617, 95616",39.8,54.5,29.8,32.2,0.0,74.0,93.0,44.0,251.0,6.2,60.7,2.5
2013-01-05,6,"95618, 95617, 95616",39.7,47.2,31.0,36.7,0.39,89.0,94.0,78.0,101.0,7.4,97.4,4.1
2013-01-06,6,"95618, 95617, 95616",43.4,54.8,34.7,40.5,0.17,89.0,96.0,66.0,104.0,8.5,117.1,4.9
2013-01-07,6,"95618, 95617, 95616",42.1,51.5,32.7,38.2,0.0,86.0,97.0,71.0,190.0,7.8,72.5,3.0
2013-01-08,6,"95618, 95617, 95616",42.3,56.8,32.3,39.0,0.0,88.0,97.0,66.0,248.0,8.1,53.0,2.2
2013-01-09,6,"95618, 95617, 95616",42.7,51.4,35.5,38.4,0.0,85.0,97.0,56.0,96.0,7.9,110.9,4.6
2013-01-10,6,"95618, 95617, 95616",38.6,49.6,29.6,29.8,0.0,70.0,90.0,49.0,266.0,5.6,81.0,3.4
2013-01-11,6,"95618, 95617, 95616",37.2,49.7,27.1,29.9,0.0,75.0,91.0,47.0,208.0,5.6,77.8,3.2
2013-01-12,6,"95618, 95617, 95616",37.9,46.9,30.0,25.3,0.0,60.0,80.0,36.0,279.0,4.6,159.5,6.6
2013-01-13,6,"95618, 95617, 95616",35.9,44.8,25.4,20.5,0.0,53.0,81.0,39.0,255.0,3.8,192.9,8.0
2013-01-14,6,"95618, 95617, 95616",39.0,49.0,30.3,19.1,0.0,44.0,70.0,28.0,276.0,3.6,240.8,10.0
2013-01-15,6,"95618, 95617, 95616",36.4,51.4,25.2,27.0,0.0,68.0,90.0,42.0,263.0,5.0,51.6,2.2
2013-01-16,6,"95618, 95617, 95616",38.7,57.9,25.9,29.8,0.0,70.0,91.0,40.0,281.0,5.6,49.4,2.1
2013-01-17,6,"95618, 95617, 95616",39.6,59.4,26.1,30.8,0.0,71.0,93.0,36.0,287.0,5.8,49.9,2.1
2013-01-18,6,"95618, 95617, 95616",42.0,60.5,30.3,30.6,0.0,64.0,90.0,32.0,292.0,5.8,100.3,4.2
2013-01-19,6,"95618, 95617, 95616",41.4,61.7,26.6,28.5,0.0,60.0,87.0,26.0,295.0,5.3,92.5,3.9
2013-01-20,6,"95618, 95617, 95616",43.0,63.2,27.9,27.7,0.0,54.0,83.0,26.0,302.0,5.1,95.5,4.0
2013-01-21,6,"95618, 95617, 95616",42.7,60.9,29.1,32.3,0.0,66.0,84.0,39.0,298.0,6.2,67.8,2.8
2013-01-22,6,"95618, 95617, 95616",50.5,60.5,42.2,35.8,0.0,57.0,87.0,40.0,403.0,7.1,78.2,3.3
2013-01-23,6,"95618, 95617, 95616",46.2,52.4,41.4,40.8,0.19,81.0,94.0,65.0,65.0,8.7,110.1,4.6
