objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,shape__area,shape__length,duration_days,intensity,rescaled_intensity,geometry,Region,fire_season,normalized_intensity
11,2023.0,CDF,SHU,WONDER,2023-07-24 00:00:00+00:00,2023-07-28 00:00:00+00:00,161.8137,1141858.58984375,7184.88555633728,5,28.31327270491457,37.0,POINT (-122.5 40.7),2,Fire Season,0.3931822705850247
12,2023.0,CDF,SHU,PINE,2023-06-15 00:00:00+00:00,2023-06-15 00:00:00+00:00,11.91801,83320.984375,1388.85090723164,1,9.23844620868936,13.0,POINT (-122.5 40.7),2,Fire Season,0.12441072392438134
13,2023.0,CDF,SHU,OLIVE,2023-07-29 00:00:00+00:00,2023-07-29 00:00:00+00:00,20.67,143460.0078125,2544.54186805971,1,11.106289938945196,15.0,POINT (-122.5 40.7),2,Fire Season,0.15072935116854494
93,2023.0,CCO,SBC,PLANT,2023-08-19 00:00:00+00:00,2023-08-31 00:00:00+00:00,5761.521,34771286.984375,52880.1507570325,13,47.083561675746125,60.0,POINT (-119.7 34.4),3,Fire Season,0.6576627679020498
94,2023.0,CCO,SBC,SUN,2023-11-09 00:00:00+00:00,2023-11-13 00:00:00+00:00,211.192,1263209.25390625,6407.74367740057,5,29.26969560341372,38.0,POINT (-119.7 34.4),3,Off Season,0.4066586323093183
95,2023.0,CCO,SBC,GRADE,2023-10-06 00:00:00+00:00,2023-10-07 00:00:00+00:00,95.66613,572195.2265625,5628.22411344363,2,20.78012198351053,27.0,POINT (-119.7 34.4),3,Fire Season,0.28703731712921315
150,2023.0,CDF,LNU,SNELL,2023-06-16 00:00:00+00:00,2023-06-16 00:00:00+00:00,97.11945,646290.57421875,4809.99465826304,1,16.559390739265613,22.0,POINT (-122.7 38.5),1,Fire Season,0.2275656115921221
156,2023.0,LRA,SHU,RUBY,2023-09-14 00:00:00+00:00,2023-09-14 00:00:00+00:00,2.58,19125.0,804.219012835874,1,4.604966463179602,7.0,POINT (-122.5 40.7),2,Fire Season,0.059123235313784106
157,2023.0,CDF,SHU,DURA,2023-07-12 00:00:00+00:00,2023-07-12 00:00:00+00:00,28.96,202759.47265625,2702.15051105932,1,12.275923227424736,16.0,POINT (-122.5 40.7),2,Fire Season,0.1672099282281911
298,2022.0,CDF,SCU,CANYON,2022-06-13 00:00:00+00:00,2022-06-13 00:00:00+00:00,16.40938,105358.90625,2236.60294530803,1,10.315834268507569,14.0,POINT (-121.7 37.3),4,Fire Season,0.13959153069336316
